,date,id,text,like,n_rt,author,location,retweeted,user_mentions,hastags
153,2022-12-17 14:36:13+00:00,1604123301994905600,"#Sgarbi contro la demolizione di #SanSiro: “Monumento che va tutelato per il suo valore simbolico”
https://t.co/88VUh8SueP",0,1,sportface2016,,False,[],"[{'text': 'Sgarbi', 'indices': [0, 7]}, {'text': 'SanSiro', 'indices': [33, 41]}]"
154,2022-12-17 13:30:00+00:00,1604106640067768320,"«UN VINCOLO SUL MEAZZA»

Vittorio Sgarbi ha preannunciato un provvedimento per salvare lo stadio di San Siro

#Milano #SanSiro https://t.co/Y5uki1qzkW",2,1,MiTomorrow,Milano,False,[],[]
155,2022-12-17 13:22:20+00:00,1604104709459025920,RT @paolopileri_: Ecco la #Milano delle rendite immobiliari al fulmicotone. Delle #olimpiadi26. Dei boschi verticali. Del nuovo #SanSiro. D…,0,26,cocchi2a,,False,"[{'screen_name': 'paolopileri_', 'name': 'Paolo Pileri', 'id': 1547192603493470208, 'id_str': '1547192603493470208', 'indices': [3, 16]}]","[{'text': 'Milano', 'indices': [26, 33]}, {'text': 'olimpiadi26', 'indices': [82, 94]}, {'text': 'SanSiro', 'indices': [128, 136]}]"
156,2022-12-17 13:19:29+00:00,1604103995131412483,RT @paolopileri_: Ecco la #Milano delle rendite immobiliari al fulmicotone. Delle #olimpiadi26. Dei boschi verticali. Del nuovo #SanSiro. D…,0,26,Stefano_Lupus,"Italy, unfortunately",False,"[{'screen_name': 'paolopileri_', 'name': 'Paolo Pileri', 'id': 1547192603493470208, 'id_str': '1547192603493470208', 'indices': [3, 16]}]","[{'text': 'Milano', 'indices': [26, 33]}, {'text': 'olimpiadi26', 'indices': [82, 94]}, {'text': 'SanSiro', 'indices': [128, 136]}]"
157,2022-12-17 13:18:51+00:00,1604103835395530754,RT @paolopileri_: Ecco la #Milano delle rendite immobiliari al fulmicotone. Delle #olimpiadi26. Dei boschi verticali. Del nuovo #SanSiro. D…,0,26,dukana2,,False,"[{'screen_name': 'paolopileri_', 'name': 'Paolo Pileri', 'id': 1547192603493470208, 'id_str': '1547192603493470208', 'indices': [3, 16]}]","[{'text': 'Milano', 'indices': [26, 33]}, {'text': 'olimpiadi26', 'indices': [82, 94]}, {'text': 'SanSiro', 'indices': [128, 136]}]"
158,2022-12-17 13:09:59+00:00,1604101602260176896,@MilanNewsit Basta che per mantenerlo paghi Sgarbi di tasca sua #sgarbi #sansiro,1,1,Fefex_13,,False,"[{'screen_name': 'MilanNewsit', 'name': 'MilanNews.it', 'id': 444812884, 'id_str': '444812884', 'indices': [0, 12]}]","[{'text': 'sgarbi', 'indices': [64, 71]}, {'text': 'sansiro', 'indices': [72, 80]}]"
159,2022-12-17 12:54:06+00:00,1604097605549563905,"#Sgarbi e un #SanSiro senza #Inter e #Milan 🗣️
https://t.co/D1kZLX1Lq9",0,0,Milannews24_com,Milano,False,[],"[{'text': 'Sgarbi', 'indices': [0, 7]}, {'text': 'SanSiro', 'indices': [13, 21]}, {'text': 'Inter', 'indices': [28, 34]}, {'text': 'Milan', 'indices': [37, 43]}]"
160,2022-12-17 12:50:46+00:00,1604096765891846144,RT @CalcioFinanza: Il sottosegretario alla Cultura Vittorio #Sgarbi all'attacco: «E’ partito l’iter per vincolare #SanSiro» https://t.co/3w…,0,1,MattSpe91,,False,"[{'screen_name': 'CalcioFinanza', 'name': 'Calcio e Finanza', 'id': 1917311582, 'id_str': '1917311582', 'indices': [3, 17]}]","[{'text': 'Sgarbi', 'indices': [60, 67]}, {'text': 'SanSiro', 'indices': [114, 122]}]"
161,2022-12-17 12:35:16+00:00,1604092864023126022,"RT @ViolinaStonata: Duomo di Pavia   : 9 Dicembre 2022 : San Siro , patrono della Città 
#pavia #sansiro #santopatrono #Duomodipavia  #Lomb…",0,2,Annroveda,,False,"[{'screen_name': 'ViolinaStonata', 'name': 'Roberta Mastretta', 'id': 2684483132, 'id_str': '2684483132', 'indices': [3, 18]}]","[{'text': 'pavia', 'indices': [89, 95]}, {'text': 'sansiro', 'indices': [96, 104]}, {'text': 'santopatrono', 'indices': [105, 118]}, {'text': 'Duomodipavia', 'indices': [119, 132]}]"
162,2022-12-17 12:23:47+00:00,1604089977012379649,#SANSIRO SIAMO NOI https://t.co/6NEVCnd1TM,5,0,LMilan_07,"Milano, Lombardia",False,[],"[{'text': 'SANSIRO', 'indices': [0, 8]}]"
163,2022-12-17 12:05:41+00:00,1604085421021052931,"#SanSiro, traballa la maggioranza in Comune: le ultime | News

#ACMilan #Milan #SempreMilan 

https://t.co/kn5oqGLH4C",0,0,PianetaMilan,milano,False,[],"[{'text': 'SanSiro', 'indices': [0, 8]}, {'text': 'ACMilan', 'indices': [63, 71]}, {'text': 'Milan', 'indices': [72, 78]}, {'text': 'SempreMilan', 'indices': [79, 91]}]"
164,2022-12-17 12:04:24+00:00,1604085099104174082,Le perle di saggezza di @VittorioSgarbi #sansiro #stadio #milan #milan #inter #ACMilan #fcinter https://t.co/QWYX3rFuQ3,0,0,Giorot74,"Milan, Italy",False,"[{'screen_name': 'VittorioSgarbi', 'name': 'Vittorio Sgarbi', 'id': 201658727, 'id_str': '201658727', 'indices': [24, 39]}]","[{'text': 'sansiro', 'indices': [40, 48]}, {'text': 'stadio', 'indices': [49, 56]}, {'text': 'milan', 'indices': [57, 63]}, {'text': 'milan', 'indices': [64, 70]}, {'text': 'inter', 'indices': [71, 77]}, {'text': 'ACMilan', 'indices': [78, 86]}, {'text': 'fcinter', 'indices': [87, 95]}]"
165,2022-12-17 11:54:08+00:00,1604082516058587136,"RT @CarloRo79403302: @CalcioFinanza Che mi sembra una cosa bella e giusta, vincolare #SanSiro! 🙏👋💪",0,1,mgpg07,,False,"[{'screen_name': 'CarloRo79403302', 'name': 'Carlo Romano', 'id': 1360905368654782466, 'id_str': '1360905368654782466', 'indices': [3, 19]}, {'screen_name': 'CalcioFinanza', 'name': 'Calcio e Finanza', 'id': 1917311582, 'id_str': '1917311582', 'indices': [21, 35]}]","[{'text': 'SanSiro', 'indices': [85, 93]}]"
