,date,id,text,like,n_rt,author,location,retweeted,user_mentions,hastags
120,2022-12-11 23:07:42+00:00,1602077695596449792,RT @nancylevine: @elonmusk @Gfilche Spoken like a true #QAnon cult leader. @Tesla investors should call their lawyers. $TSLA #CorpGov,0,14,VELehman,,False,"[{'screen_name': 'nancylevine', 'name': 'Nancy Levine', 'id': 27282113, 'id_str': '27282113', 'indices': [3, 15]}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [17, 26]}, {'screen_name': 'Gfilche', 'name': 'Gali', 'id': 348844712, 'id_str': '348844712', 'indices': [27, 35]}, {'screen_name': 'Tesla', 'name': 'Tesla', 'id': 13298072, 'id_str': '13298072', 'indices': [75, 81]}]","[{'text': 'QAnon', 'indices': [55, 61]}, {'text': 'CorpGov', 'indices': [125, 133]}]"
121,2022-12-11 23:06:08+00:00,1602077299985518592,#qanon has invaded #Alberta to join the so-called #MAGARepublicans and #FreedomFighters… Last I checked #yyc was part of #Canada… oooo but maybe JFK Jr can be our vp when Trump loses yet again! https://t.co/bghFiNVGmq,0,0,HarmonyJackson,Calgary AB,False,[],"[{'text': 'qanon', 'indices': [0, 6]}, {'text': 'Alberta', 'indices': [19, 27]}, {'text': 'MAGARepublicans', 'indices': [50, 66]}, {'text': 'FreedomFighters', 'indices': [71, 87]}, {'text': 'yyc', 'indices': [104, 108]}]"
122,2022-12-11 22:51:59+00:00,1602073742204862464,"Fascists often hide in plain sight, while others show you exactly who they are. Good thing we have Wonder Woman on our side! #Fascist #WhiteChristianNationalist #MTG #MarjorieNaziGreene #MarjorieTraitorGreene #MargeThreeToes #GOPCorruptionOverCountry #GOPTraitors #QAnon https://t.co/FBfXcTQC49",1,0,TIsForTreason,Sunny CA,False,[],[]
123,2022-12-11 22:48:54+00:00,1602072962802262022,"So all of us #QAnon people aren't actually crazy, but we were RIGHT! 🤔",0,0,CryptoTo02022,"Pennsylvania, USA",False,[],"[{'text': 'QAnon', 'indices': [13, 19]}]"
124,2022-12-11 22:39:21+00:00,1602070562083594240,"RT @crankycartoons: WTAF HAPPENED IN PETERBOROUGH!?
#QAnon Canadian style. The United People of Canada receive a punch in the face from obj…",0,322,LaurieWorby,"Ontario, Canada",False,"[{'screen_name': 'crankycartoons', 'name': 'Cranky Canuck 🤘🥶', 'id': 949026103049445376, 'id_str': '949026103049445376', 'indices': [3, 18]}]","[{'text': 'QAnon', 'indices': [52, 58]}]"
125,2022-12-11 22:35:31+00:00,1602069596022116355,"@ITS_JUST_LX @kathrynresister #Qunt on a bundt? 🤔 Fyi, Q is the new catch-all consonant for #Qanon related losers and their 🍊 cult 🐂-💩. 😉 #uspoli #canpoli #eupoli #GOP #TrumpsterFire",2,0,Loeb_0ttomi,"Toronto, Canada",False,"[{'screen_name': 'ITS_JUST_LX', 'name': 'ITS_JUST_LX', 'id': 1483592139518791680, 'id_str': '1483592139518791680', 'indices': [0, 12]}, {'screen_name': 'kathrynresister', 'name': 'Tales & Typos', 'id': 977954172556361733, 'id_str': '977954172556361733', 'indices': [13, 29]}]","[{'text': 'Qunt', 'indices': [30, 35]}, {'text': 'Qanon', 'indices': [92, 98]}]"
126,2022-12-11 22:29:50+00:00,1602068168096518144,"RT @crankycartoons: WTAF HAPPENED IN PETERBOROUGH!?
#QAnon Canadian style. The United People of Canada receive a punch in the face from obj…",0,322,Theobius,,False,"[{'screen_name': 'crankycartoons', 'name': 'Cranky Canuck 🤘🥶', 'id': 949026103049445376, 'id_str': '949026103049445376', 'indices': [3, 18]}]","[{'text': 'QAnon', 'indices': [52, 58]}]"
127,2022-12-11 22:26:49+00:00,1602067409090891781,@NickHanauer He's gone #MAGA #QANON #CULT on everyone to see. He only have positive interactions with #MAGA or #WhiteNationalists.,0,0,savidiot2022,Minneapolis,False,"[{'screen_name': 'NickHanauer', 'name': 'Nick Hanauer', 'id': 84957890, 'id_str': '84957890', 'indices': [0, 12]}]","[{'text': 'MAGA', 'indices': [23, 28]}, {'text': 'QANON', 'indices': [29, 35]}, {'text': 'CULT', 'indices': [36, 41]}, {'text': 'MAGA', 'indices': [102, 107]}, {'text': 'WhiteNationalists', 'indices': [111, 129]}]"
128,2022-12-11 22:22:41+00:00,1602066368601505795,"RT @babakgd_sphnix: 4- Later, the #Qanon movement existed and was censored

 5- A #Restart leader's tweet disturbed the game's leadership…",0,7,Hooman00980098,"Beverly Hills, CA",False,"[{'screen_name': 'babakgd_sphnix', 'name': 'وی', 'id': 1173163660954480641, 'id_str': '1173163660954480641', 'indices': [3, 18]}]","[{'text': 'Qanon', 'indices': [34, 40]}, {'text': 'Restart', 'indices': [82, 90]}]"
129,2022-12-11 22:07:52+00:00,1602062639848300544,"Old @elonmusk is full blown, fly blown, nut job. Absolute #QAnon cooker",0,0,Chevy70,Forest Hill,False,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [4, 13]}]","[{'text': 'QAnon', 'indices': [58, 64]}]"
